ESTAR: Stopping Powers and Range Tables for Electrons

WATER, LIQUID

Kinetic  	Collision	Radiative	Total    	D. Effect
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	Parameter
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g

1.000E-02	2.256E+01	3.898E-03	2.256E+01	0.000E+00
1.500E-02	1.647E+01	3.944E-03	1.647E+01	0.000E+00
2.000E-02	1.317E+01	3.963E-03	1.318E+01	0.000E+00
2.500E-02	1.109E+01	3.974E-03	1.110E+01	0.000E+00
3.000E-02	9.653E+00	3.984E-03	9.657E+00	0.000E+00
3.500E-02	8.592E+00	3.994E-03	8.596E+00	0.000E+00
4.000E-02	7.777E+00	4.005E-03	7.781E+00	0.000E+00
4.500E-02	7.130E+00	4.018E-03	7.134E+00	0.000E+00
5.000E-02	6.603E+00	4.031E-03	6.607E+00	0.000E+00
6.000E-02	5.797E+00	4.062E-03	5.801E+00	0.000E+00
7.000E-02	5.207E+00	4.098E-03	5.211E+00	0.000E+00
8.000E-02	4.757E+00	4.138E-03	4.761E+00	0.000E+00
9.000E-02	4.402E+00	4.181E-03	4.407E+00	0.000E+00
1.000E-01	4.115E+00	4.228E-03	4.119E+00	0.000E+00
1.500E-01	3.238E+00	4.494E-03	3.242E+00	0.000E+00
2.000E-01	2.793E+00	4.801E-03	2.798E+00	0.000E+00
2.500E-01	2.528E+00	5.141E-03	2.533E+00	0.000E+00
3.000E-01	2.355E+00	5.514E-03	2.360E+00	0.000E+00
3.500E-01	2.235E+00	5.914E-03	2.241E+00	0.000E+00
4.000E-01	2.148E+00	6.339E-03	2.154E+00	0.000E+00
4.500E-01	2.083E+00	6.787E-03	2.090E+00	0.000E+00
5.000E-01	2.034E+00	7.257E-03	2.041E+00	0.000E+00
6.000E-01	1.963E+00	8.254E-03	1.972E+00	2.938E-02
7.000E-01	1.917E+00	9.313E-03	1.926E+00	7.435E-02
8.000E-01	1.886E+00	1.042E-02	1.896E+00	1.267E-01
9.000E-01	1.864E+00	1.159E-02	1.876E+00	1.835E-01
1.000E+00	1.849E+00	1.280E-02	1.862E+00	2.428E-01
1.500E+00	1.822E+00	1.942E-02	1.841E+00	5.437E-01
2.000E+00	1.824E+00	2.678E-02	1.850E+00	8.218E-01
2.500E+00	1.834E+00	3.468E-02	1.868E+00	1.069E+00
3.000E+00	1.846E+00	4.299E-02	1.889E+00	1.288E+00
3.500E+00	1.858E+00	5.164E-02	1.910E+00	1.484E+00
4.000E+00	1.870E+00	6.058E-02	1.931E+00	1.660E+00
4.500E+00	1.882E+00	6.976E-02	1.951E+00	1.821E+00
5.000E+00	1.892E+00	7.917E-02	1.971E+00	1.967E+00
6.000E+00	1.911E+00	9.854E-02	2.010E+00	2.227E+00
7.000E+00	1.928E+00	1.185E-01	2.047E+00	2.453E+00
8.000E+00	1.943E+00	1.391E-01	2.082E+00	2.652E+00
9.000E+00	1.956E+00	1.601E-01	2.116E+00	2.831E+00
1.000E+01	1.968E+00	1.814E-01	2.149E+00	2.992E+00
1.500E+01	2.014E+00	2.926E-01	2.306E+00	3.633E+00
2.000E+01	2.046E+00	4.086E-01	2.454E+00	4.107E+00
2.500E+01	2.070E+00	5.277E-01	2.598E+00	4.487E+00
3.000E+01	2.089E+00	6.489E-01	2.738E+00	4.806E+00
3.500E+01	2.105E+00	7.716E-01	2.876E+00	5.082E+00
4.000E+01	2.118E+00	8.955E-01	3.013E+00	5.326E+00
4.500E+01	2.129E+00	1.021E+00	3.150E+00	5.544E+00
5.000E+01	2.139E+00	1.146E+00	3.286E+00	5.741E+00
6.000E+01	2.156E+00	1.400E+00	3.556E+00	6.087E+00
7.000E+01	2.170E+00	1.656E+00	3.827E+00	6.383E+00
8.000E+01	2.182E+00	1.914E+00	4.096E+00	6.641E+00
9.000E+01	2.193E+00	2.173E+00	4.366E+00	6.871E+00
1.000E+02	2.202E+00	2.434E+00	4.636E+00	7.077E+00
1.500E+02	2.238E+00	3.749E+00	5.987E+00	7.876E+00
2.000E+02	2.263E+00	5.078E+00	7.341E+00	8.447E+00
2.500E+02	2.282E+00	6.416E+00	8.698E+00	8.891E+00
3.000E+02	2.297E+00	7.760E+00	1.006E+01	9.254E+00
3.500E+02	2.311E+00	9.107E+00	1.142E+01	9.561E+00
4.000E+02	2.322E+00	1.046E+01	1.278E+01	9.827E+00
4.500E+02	2.332E+00	1.181E+01	1.414E+01	1.006E+01
5.000E+02	2.341E+00	1.317E+01	1.551E+01	1.027E+01
6.000E+02	2.357E+00	1.589E+01	1.824E+01	1.064E+01
7.000E+02	2.370E+00	1.861E+01	2.098E+01	1.094E+01
8.000E+02	2.381E+00	2.133E+01	2.371E+01	1.121E+01
9.000E+02	2.391E+00	2.406E+01	2.645E+01	1.145E+01
1.000E+03	2.400E+00	2.679E+01	2.919E+01	1.166E+01
