CMDLINE python scoring_report/PlanReport.py
MEM 1.687500 1489873644.4003
MEM 11.832031 1489873644.5007
MEM 20.539062 1489873644.6011
MEM 21.300781 1489873644.7014
MEM 26.062500 1489873644.8018
MEM 30.023438 1489873644.9021
MEM 46.609375 1489873645.0025
MEM 58.296875 1489873645.1029
MEM 66.703125 1489873645.2032
MEM 78.957031 1489873645.3036
MEM 85.203125 1489873645.4040
MEM 94.179688 1489873645.5044
MEM 114.414062 1489873645.6047
MEM 117.734375 1489873645.7051
MEM 118.968750 1489873645.8055
MEM 120.859375 1489873645.9058
MEM 122.492188 1489873646.0062
MEM 123.753906 1489873646.1065
MEM 124.218750 1489873646.2069
MEM 125.742188 1489873646.3073
MEM 126.257812 1489873646.4076
MEM 126.257812 1489873646.5080
MEM 126.257812 1489873646.6083
MEM 126.257812 1489873646.7087
MEM 126.257812 1489873646.8091
MEM 126.257812 1489873646.9094
MEM 126.511719 1489873647.0098
MEM 127.800781 1489873647.1102
MEM 128.316406 1489873647.2105
MEM 128.316406 1489873647.3109
MEM 128.472656 1489873647.4112
MEM 129.500000 1489873647.5116
MEM 129.769531 1489873647.6120
MEM 133.707031 1489873647.7123
MEM 134.648438 1489873647.8127
MEM 134.980469 1489873647.9130
MEM 134.980469 1489873648.0134
MEM 136.007812 1489873648.1138
MEM 137.773438 1489873648.2141
MEM 150.636719 1489873648.3145
MEM 158.390625 1489873648.4149
MEM 158.394531 1489873648.5153
